,Parameters,Training Accuracy,Test Accuracy
0,"{'activation': 'sigmoid', 'learning_rate': 0.001, 'hidden_layer_size': 4}",84.08342480790341,83.77192982456141
1,"{'activation': 'sigmoid', 'learning_rate': 0.001, 'hidden_layer_size': 8}",84.08342480790341,83.77192982456141
2,"{'activation': 'sigmoid', 'learning_rate': 0.001, 'hidden_layer_size': 16}",84.08342480790341,83.77192982456141
3,"{'activation': 'sigmoid', 'learning_rate': 0.01, 'hidden_layer_size': 4}",84.08342480790341,83.77192982456141
4,"{'activation': 'sigmoid', 'learning_rate': 0.01, 'hidden_layer_size': 8}",84.08342480790341,83.77192982456141
5,"{'activation': 'sigmoid', 'learning_rate': 0.01, 'hidden_layer_size': 16}",84.08342480790341,83.77192982456141
6,"{'activation': 'sigmoid', 'learning_rate': 0.1, 'hidden_layer_size': 4}",84.08342480790341,83.77192982456141
7,"{'activation': 'sigmoid', 'learning_rate': 0.1, 'hidden_layer_size': 8}",84.08342480790341,83.77192982456141
8,"{'activation': 'sigmoid', 'learning_rate': 0.1, 'hidden_layer_size': 16}",84.08342480790341,83.77192982456141
9,"{'activation': 'tanh', 'learning_rate': 0.001, 'hidden_layer_size': 4}",84.08342480790341,83.77192982456141
10,"{'activation': 'tanh', 'learning_rate': 0.001, 'hidden_layer_size': 8}",84.08342480790341,83.77192982456141
11,"{'activation': 'tanh', 'learning_rate': 0.001, 'hidden_layer_size': 16}",84.08342480790341,83.77192982456141
12,"{'activation': 'tanh', 'learning_rate': 0.01, 'hidden_layer_size': 4}",84.08342480790341,83.77192982456141
13,"{'activation': 'tanh', 'learning_rate': 0.01, 'hidden_layer_size': 8}",84.08342480790341,83.77192982456141
14,"{'activation': 'tanh', 'learning_rate': 0.01, 'hidden_layer_size': 16}",84.08342480790341,83.77192982456141
15,"{'activation': 'tanh', 'learning_rate': 0.1, 'hidden_layer_size': 4}",84.08342480790341,83.77192982456141
16,"{'activation': 'tanh', 'learning_rate': 0.1, 'hidden_layer_size': 8}",84.08342480790341,83.77192982456141
17,"{'activation': 'tanh', 'learning_rate': 0.1, 'hidden_layer_size': 16}",84.08342480790341,83.77192982456141
18,"{'activation': 'relu', 'learning_rate': 0.001, 'hidden_layer_size': 4}",84.08342480790341,83.77192982456141
19,"{'activation': 'relu', 'learning_rate': 0.001, 'hidden_layer_size': 8}",84.08342480790341,83.77192982456141
20,"{'activation': 'relu', 'learning_rate': 0.001, 'hidden_layer_size': 16}",84.08342480790341,83.77192982456141
21,"{'activation': 'relu', 'learning_rate': 0.01, 'hidden_layer_size': 4}",84.08342480790341,83.77192982456141
22,"{'activation': 'relu', 'learning_rate': 0.01, 'hidden_layer_size': 8}",84.08342480790341,83.77192982456141
23,"{'activation': 'relu', 'learning_rate': 0.01, 'hidden_layer_size': 16}",84.08342480790341,83.77192982456141
24,"{'activation': 'relu', 'learning_rate': 0.1, 'hidden_layer_size': 4}",84.08342480790341,83.77192982456141
25,"{'activation': 'relu', 'learning_rate': 0.1, 'hidden_layer_size': 8}",84.08342480790341,83.77192982456141
26,"{'activation': 'relu', 'learning_rate': 0.1, 'hidden_layer_size': 16}",84.08342480790341,83.77192982456141
